Column 1,item_id,stem,option_a,fb_a,option_b,fb_b,option_c,fb_c,option_d,fb_d,correct,rationale,rationale_img,subject,topic,difficulty,marks,instant_id,timed_id
,GP-S0-10,A newborn with a urethral opening on the upper surface of the penis is diagnosed with:,Hypospadias,Incorrect – Hypospadias is ventral displacement.,Posterior urethral valve,"Incorrect – Causes obstruction, not abnormal opening.",Epispadias,Correct – Dorsal displacement of urethral opening.,,,C,Epispadias = dorsal urethral opening.,,PEDS,Paediatrics,Moderate,,,GP-F-T0
,GP-S0-11,A patient’s uterine body length is 4 cm. This most likely indicates:,Post-menopausal atrophy,"Incorrect – Smaller, but usually still longer than 4 cm.",Mid-pregnancy changes,Incorrect – Uterus enlarges in pregnancy.,Hypoplastic uterus,Correct – Abnormally small uterus may cause infertility.,,,C,Hypoplastic uterus is abnormally small.,,MID,Midwifery,Moderate,,,GP-F-T0
,GP-S0-12,"In orthopaedic surgery, which instrument is used for traction pin insertion?",Vaginal speculum,Incorrect – Used in gynaecology.,Curved artery forceps,Incorrect – Used to clamp vessels.,Steinmann pin introducer,Correct – Used for skeletal traction pins.,,,C,Steinmann pin introducer is for traction pin insertion.,,SURG,Surgery,Easy,,,GP-F-T0
,GP-S0-13,A pregnant woman reports reduced foetal movement and persistent headache. This combination suggests:,Normal third-trimester changes,"Incorrect – Not normal, must be investigated.",Possible preeclampsia with foetal compromise,Correct – Danger signs of preeclampsia.,Dehydration,"Incorrect – May cause headache, but not reduced foetal movement.",,,B,Reduced foetal movement + headache = possible preeclampsia.,,MID,Midwifery,Moderate,,,GP-F-T0
,GP-S0-14,A nurse provides health education on avoiding guinea worm infection. Which measure is correct?,Avoiding snail-infested water,"Incorrect – Prevents schistosomiasis, not guinea worm.",Drinking river water without boiling,Incorrect – Increases risk of infection.,Filtering or boiling drinking water,Correct – Removes copepods carrying the parasite.,,,C,Guinea worm prevention = filter or boil water.,,PHN,Public/community health,Easy,,,GP-F-T0
,GP-S0-15,A woman who recently delivered is taught to wash her hands before and after perineal care. This is primarily to prevent:,Urinary tract infection,Incorrect – Possible but not the main concern.,Postpartum haemorrhage,Incorrect – Related to uterine tone.,Puerperal sepsis,Correct – Hand hygiene prevents infection.,,,C,Handwashing prevents puerperal sepsis.,,MID,Midwifery,Easy,,,GP-F-T0
,GP-S0-16,A patient’s nursing care plan states “Patient will walk 30 metres without assistance within two weeks.” This is a:,Short-term goal,Incorrect – Hours to a few days only.,Medium-term goal,Correct – Goals over days to weeks.,Long-term goal,Incorrect – Spans months to years.,,,B,Walking in 2 weeks = medium-term goal.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-17,A nurse gives a tetanus toxoid injection. This is an example of:,Active natural immunity,Incorrect – Acquired via infection.,Passive artificial immunity,Incorrect – Via ready-made antibodies.,Active artificial immunity,Correct – Stimulates own antibodies via vaccine.,,,C,Tetanus toxoid = active artificial immunity.,,MED,Medicine,Easy,,,GP-F-T0
,GP-S0-18,"In a child with thrombocytopenia, which activity should be avoided?",Oral feeding,Incorrect – Safe for the child.,Passive range-of-motion exercises,Incorrect – Safe if gentle.,Contact sports,Correct – High bleeding risk.,,,C,Avoid contact sports in thrombocytopenia.,,PEDS,Paediatrics,Easy,,,GP-F-T0
,GP-S0-19,"A psychiatric patient repeatedly checks if the door is locked, even when told it is. This behaviour is:",Phobia,Incorrect – Fear of object/situation.,Compulsion,Correct – Repetitive behaviour to relieve anxiety.,Obsession,"Incorrect – Intrusive thought, not the behaviour.",,,B,Compulsions = repetitive behaviours from obsessional anxiety.,,MHN,Mental Health,Moderate,,,GP-F-T0
,GP-S0-20,A newborn is noted to have persistent central cyanosis. This finding:,Normal in first 24 hours,Incorrect – Only acrocyanosis may be normal.,Caused by immature circulation only,Incorrect – Needs urgent evaluation.,Urgent evaluation for cardiac/resp causes,Correct – Central cyanosis is abnormal.,,,C,Central cyanosis needs urgent evaluation.,,PEDS,Paediatrics,Easy,,,GP-F-T0
,GP-S0-21,"During a health education session, a nurse states, “I will treat all patients fairly, giving resources according to their needs.” This statement best demonstrates:",Justice,Correct – Justice ensures fairness in distribution of resources based on patient needs.,Autonomy,Incorrect – Autonomy is respecting patient choices.,Beneficence,Incorrect – Beneficence means acting for the patient’s benefit.,,,A,Justice = fairness and equity in care delivery.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-22,A woman at 28 weeks reports dizziness and shortness of breath after standing long periods. Most likely cause?,Preeclampsia,"Incorrect – Causes hypertension and proteinuria, not postural symptoms alone.",Iron-deficiency anaemia,"Incorrect – May cause fatigue, but not positional symptoms.",Supine hypotensive syndrome,Correct – Gravid uterus compresses vena cava reducing venous return.,,,C,Supine hypotensive syndrome explains postural dizziness.,,MID,Midwifery,Moderate,,,GP-F-T0
,GP-S0-23,A nurse refuses to administer medication because the prescription is illegible. This is an example of:,Negligence,Incorrect – Negligence is failure to act responsibly.,Accountability,Correct – Accountability means ensuring actions are safe and appropriate.,Autonomy,Incorrect – Autonomy relates to patient decisions.,,,B,Accountability = responsibility to question unclear orders.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-24,An adolescent with depression refuses food and fluids. The nurse should first:,Respect the patient’s wish,Incorrect – Respect without safety checks risks harm.,Offer high-calorie snacks later,Incorrect – Delayed action may worsen condition.,Assess for risk of dehydration and initiate support,Correct – Safety and hydration must be addressed first.,,,C,Assess hydration immediately to prevent complications.,,MHN,Mental Health,Moderate,,,GP-F-T0
,GP-S0-25,A 3-year-old coughs persistently after swallowing a coin. Priority nursing action?,Offer water,Incorrect – Risk of aspiration.,Assess airway and initiate choking protocol if needed,Correct – First ensure airway patency.,Wait for coin to pass in stool,Incorrect – Unsafe if airway compromised.,,,B,Airway assessment and emergency protocol are priority.,,PEDS,Paediatrics,Hard,,,GP-F-T0
,GP-S0-26,Which is an example of secondary prevention?,Breast self-exam education,Incorrect – Primary prevention.,Blood pressure screening,Correct – Detects disease early for prompt treatment.,Cardiac rehabilitation,Incorrect – Tertiary prevention.,,,B,Secondary prevention = early detection.,,PHC,Public/community health,Easy,,,GP-F-T0
,GP-S0-27,"In caring for a patient with a urinary catheter, the nurse should:",Keep bag above bladder,Incorrect – Risks backflow and infection.,Empty bag once every 24 hrs,Incorrect – Must be emptied more frequently.,Maintain closed drainage system,Correct – Prevents CAUTI.,,,C,Closed system reduces infection risk.,,MED,Medicine,Easy,,,GP-F-T0
,GP-S0-28,"Pregnant woman at 36 weeks with oedema, BP ↑, proteinuria. Condition is:",Eclampsia,Incorrect – Requires seizures.,Preeclampsia,"Correct – Includes HTN, proteinuria, oedema.",Gestational hypertension,Incorrect – No proteinuria or systemic features.,,,B,Preeclampsia is HTN + proteinuria ± oedema.,,MID,Midwifery,Easy,,,GP-F-T0
,GP-S0-29,"After applying a plaster cast, which instruction is most important first 24 hrs?",Keep limb dependent,Incorrect – Increases swelling.,Cover with blanket,Incorrect – May cause moisture and breakdown.,Elevate limb and report numbness/tingling,Correct – Prevents swelling and monitors circulation.,,,C,Elevation reduces swelling; numbness indicates circulation issues.,,SURG,Surgery,Moderate,,,GP-F-T0
,GP-S0-30,Nurse finds unconscious patient on floor. First action?,Call for help,Incorrect – Done after ABC check.,"Check airway, breathing, circulation",Correct – ABC assessment ensures life safety.,Place in recovery position,Incorrect – Only if stable and no spinal suspicion.,,,B,ABC is always the first step.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-31,Hypertensive patient advised to limit salt. Why?,Decreases cardiac output,Incorrect – Not direct effect.,Lowers vascular resistance,Incorrect – Sodium increases resistance.,"Promotes fluid retention, raising BP",Correct – Sodium causes water retention → ↑BP.,,,C,Sodium retention raises blood pressure.,,MED,Medicine,Easy,,,GP-F-T0
,GP-S0-32,Postnatal woman asks why night breastfeeding is encouraged. Correct response:,Keeps baby quiet,Incorrect – Comfort is secondary.,Prevents maternal dehydration,Incorrect – Not the main reason.,Maintains prolactin levels for milk production,Correct – Night feeding supports lactation.,,,C,Night feeds sustain prolactin and milk supply.,,MID,Midwifery,Easy,,,GP-F-T0
,GP-S0-33,Nurse teaching food safety says reheated food should be:,Warm to touch,Incorrect – Insufficient to kill bacteria.,Cooled quickly before serving,Incorrect – May encourage bacteria growth.,Heated until steaming hot,Correct – Kills most harmful microbes.,,,C,Food must be steaming hot when reheated.,,PHC,Public/community health,Easy,,,GP-F-T0
,GP-S0-34,"Post-op patient develops SOB, suspected PE. Immediate action?",Encourage deep breathing,"Incorrect – For atelectasis, not PE.",Obtain chest X-ray,Incorrect – Diagnostics later.,Give oxygen and notify physician,Correct – Stabilise O₂ and call for urgent care.,,,C,Oxygen and urgent medical support first.,,SURG,Surgery,Hard,,,GP-F-T0
,GP-S0-35,A child with kwashiorkor has a diet deficient in:,Carbohydrates,Incorrect – Carbohydrate deficiency = marasmus.,Fats,Incorrect – Rare and presents differently.,Proteins,Correct – Kwashiorkor = severe protein deficiency.,,,C,Kwashiorkor = protein deficiency despite calories.,,PEDS,Paediatrics,Easy,,,GP-F-T0
,GP-S0-36,Primary purpose of incentive spirometer for post-op patient?,Prevent constipation,Incorrect – Not GI related.,Strengthen cardiac function,Incorrect – Not cardiac device.,"Promote lung expansion, prevent atelectasis",Correct – Encourages deep breathing.,,,C,Spirometry prevents atelectasis post-op.,,SURG,Surgery,Easy,,,GP-F-T0
,GP-S0-37,Nurse suspects hypoglycaemia. Which symptom supports?,Dry skin,Incorrect – Seen in hyperglycaemia.,Sweating and tremors,Correct – Due to sympathetic activation.,Slow heart rate,Incorrect – Hypoglycaemia causes tachycardia.,,,B,"Hypoglycaemia = sweating, tremors, tachycardia.",,MED,Medicine,Easy,,,GP-F-T0
,GP-S0-38,Intervention for high risk of pressure ulcers?,Standard foam mattress,Incorrect – May need special mattress.,Reposition every 4 hrs,Incorrect – Too long.,Reposition at least every 2 hrs,Correct – Prevents skin breakdown.,,,C,Frequent turning prevents ulcers.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-39,A child with measles should be isolated until:,Rash appears,Incorrect – Infectious period begins before rash.,Rash fades completely,Incorrect – Not required.,4 days after rash onset,Correct – Most infectious 4 days before and after rash.,,,C,Isolation until 4 days after rash onset.,,PEDS,Paediatrics,Moderate,,,GP-F-T0
,GP-S0-40,Which practice prevents vesico-vaginal fistula during labour?,Prolonged pushing,Incorrect – Increases risk.,Delay in second stage,Incorrect – Increases pressure.,Timely management of obstructed labour,Correct – Prevents bladder wall necrosis.,,,C,Early management of obstructed labour prevents fistula.,,MID,Midwifery,Moderate,,,GP-F-T0
,GP-S0-41,A patient recovering from abdominal surgery asks why they must do deep breathing exercises. The correct nursing response is:,To strengthen abdominal muscles,Incorrect – Strengthening muscles is not the main purpose.,To prevent lung collapse and improve oxygenation,Correct – Deep breathing prevents atelectasis and improves gas exchange.,To reduce post-operative pain,Incorrect – May ease discomfort but not the main reason.,,,B,Deep breathing helps prevent atelectasis and optimises oxygenation.,,SURG,Surgery,Easy,,,GP-F-T0
,GP-S0-42,The nurse teaches a patient with diabetes about self-monitoring of blood glucose. The most important instruction is to:,Use the same finger for consistency,Incorrect – Rotate fingers to prevent soreness.,Record results and report significant changes,Correct – Consistent documentation and reporting allow early intervention.,Check glucose only when symptomatic,Incorrect – Delays detection and management.,,,B,Recording and reporting results ensures safe diabetes management.,,MED,Medicine,Easy,,,GP-F-T0
,GP-S0-43,"In triage, which patient should be attended to first?",Stable patient with minor burns,Incorrect – Can safely wait.,Patient with closed fracture of femur,Incorrect – Requires care but not immediate airway priority.,Patient with airway obstruction,Correct – Airway compromise is life-threatening.,,,C,Airway is always the first priority in triage.,,FUND,Fundamentals,Hard,,,GP-F-T0
,GP-S0-44,Which antenatal advice reduces the risk of constipation in pregnancy?,Increase caffeine intake,"Incorrect – Caffeine is a diuretic, not recommended.",Eat high-fibre foods and drink water,Correct – Fibre and fluids promote bowel regularity.,Reduce fluid intake before bedtime,Incorrect – Restricting fluids worsens constipation.,,,B,Fibre and hydration reduce constipation in pregnancy.,,MID,Midwifery,Easy,,,GP-F-T0
,GP-S0-45,The primary nursing goal for a patient with oedema due to nephrotic syndrome is to:,Encourage unrestricted fluids,Incorrect – Worsens oedema.,Promote regular exercise,Incorrect – Supportive but not the primary focus.,Reduce fluid retention and maintain skin integrity,Correct – Priority is to control oedema and protect skin.,,,C,Nursing care focuses on reducing oedema and preventing skin breakdown.,,MED,Medicine,Moderate,,,GP-F-T0
,GP-S0-46,A child is brought in with a suspected fractured arm. The first nursing action should be to:,Apply warm compress,Incorrect – Heat may worsen swelling.,Immobilise the limb and assess circulation,Correct – Prevents further injury and checks perfusion.,Give large amount of water,Incorrect – Oral fluids not relevant.,,,B,Immobilisation and circulation check are priorities.,,PEDS,Paediatrics,Moderate,,,GP-F-T0
,GP-S0-47,Which ethical principle is a nurse applying when keeping a promise made to a patient?,Justice,Incorrect – Justice = fairness.,Autonomy,Incorrect – Autonomy = respecting choices.,Fidelity,Correct – Fidelity = keeping commitments.,,,C,Fidelity means faithfulness to promises and responsibilities.,,FUND,Fundamentals,Easy,,,GP-F-T0
,GP-S0-48,The most effective way to prevent malaria in a rural Ghanaian community is to:,Wear long sleeves at night,Incorrect – Partial protection only.,Use mosquito coils indoors,Incorrect – Limited effectiveness.,Sleep under insecticide-treated nets,Correct – ITNs reduce malaria transmission significantly.,,,C,ITNs are the most effective preventive measure.,,PHC,Public/community health,Easy,,,GP-F-T0
,GP-S0-49,"After a thyroidectomy, the nurse should keep which equipment at bedside?",Cardiac monitor,Incorrect – Useful later but not priority.,Emergency tracheostomy set,Correct – Prevents airway obstruction emergencies.,Defibrillator,Incorrect – Not first-line need.,,,B,Tracheostomy set is essential for emergency airway management.,,SURG,Surgery,Hard,,,GP-F-T0
,GP-S0-50,A woman in labour is advised to avoid prolonged breath-holding during pushing because it may:,Increase oxygen delivery to fetus,Incorrect – It decreases oxygen.,Reduce oxygen supply to fetus,Correct – Prolonged maternal hypoxia reduces fetal oxygen.,Shorten second stage safely,Incorrect – Risks baby’s oxygenation.,,,B,Avoiding breath-holding maintains fetal oxygenation.,,MID,Midwifery,Moderate,,,GP-F-T0
,GP-S0-51,The safest position for a patient with suspected spinal injury is:,Supine without support,Incorrect – Allows spine movement.,Sitting upright,Incorrect – Increases instability.,Log-rolled position with neck support,Correct – Maintains spinal alignment.,,,C,Log-rolling protects spinal cord integrity.,,SURG,Surgery,Moderate,,GP-F-I0,
,GP-S0-52,A patient’s blood sample for malaria microscopy should be collected:,Anytime the patient is febrile,Incorrect – May miss peak parasitemia.,Just before a fever spike,Correct – Parasite load highest pre-spike.,After anti-malarials,Incorrect – Drugs lower parasite count.,,,B,Collect sample just before fever spike for accurate results.,,MED,Medicine,Moderate,,GP-F-I0,
,GP-S0-53,A 9-month-old infant should be able to:,Walk independently,Incorrect – Walking occurs later (~12–15 months).,Say two-word sentences,Incorrect – Develops after 18 months.,Sit without support,Correct – Typical milestone by 9 months.,,,C,Sitting unsupported develops around 9 months.,,PEDS,Paediatrics,Easy,,GP-F-I0,
,GP-S0-54,Which is a primary preventive measure for cervical cancer?,Pap smear screening,Incorrect – Secondary prevention.,Early detection of abnormal cells,Incorrect – Secondary prevention.,HPV vaccination,Correct – Prevents initial HPV infection.,,,C,HPV vaccination is primary prevention.,,PHC,Public/community health,Easy,,GP-F-I0,
,GP-S0-55,Psychiatric patient pacing with clenched fists and rapid breathing indicates:,Fatigue,Incorrect – Fatigue reduces activity.,Escalating aggression,Correct – Signs of rising aggression.,Physical pain,"Incorrect – Pain often causes guarding, not pacing.",,,B,Behavioural cues indicate escalating aggression.,,MHN,Mental Health,Moderate,,GP-F-I0,
,GP-S0-56,"In administering oxygen via nasal cannula, the nurse should:",Set flow above 10 L/min,"Incorrect – Too high, dries mucosa.",Leave cannula unchecked,Incorrect – Risks disconnection and skin damage.,Ensure tubing not kinked and flow as prescribed,Correct – Safe delivery requires checks and correct rate.,,,C,Proper monitoring ensures safe O₂ therapy.,,MED,Medicine,Easy,,GP-F-I0,
,GP-S0-57,Woman on combined oral contraceptives should report immediately if experiencing:,Occasional nausea,Incorrect – Minor side effect.,Severe headache and vision changes,Correct – May indicate thromboembolic complication.,Mild breast tenderness,Incorrect – Common minor effect.,,,B,Headache + vision changes suggest serious clot risk.,,MID,Midwifery,Moderate,,GP-F-I0,
,GP-S0-58,Infection control for pulmonary TB patient?,Sterile gloves only,Incorrect – Gloves don’t stop airborne spread.,Isolation + N95 + ventilation,Correct – TB needs airborne precautions.,Avoid all visitors,Incorrect – Visitors allowed with precautions.,,,B,Airborne precautions prevent TB spread.,,PHC,Public/community health,Easy,,GP-F-I0,
,GP-S0-59,Symptom most suggestive of hypovolaemic shock?,Elevated temperature,Incorrect – Suggests infection.,Low BP with rapid weak pulse,Correct – Hallmark of fluid loss shock.,Slow HR with high BP,"Incorrect – Rare, not typical shock.",,,B,Shock = hypotension + tachycardia from fluid loss.,,MED,Medicine,Moderate,,GP-F-I0,
,GP-S0-60,Which action shows beneficence in nursing?,Respecting refusal of treatment,Incorrect – Autonomy principle.,Providing pain relief post-op,Correct – Beneficence = actively doing good.,Keeping patient information confidential,Incorrect – Confidentiality/non-maleficence.,,,B,Pain relief is a direct act of beneficence.,,FUND,Fundamentals,Easy,,GP-F-I0,
,GP-S0-61,A patient with severe burns is at greatest risk for which complication in the first 24 hours?,Infection,Incorrect – Infection risk rises after 24–48 hours as colonization increases.,Hypovolaemic shock,Correct – Massive capillary leak causes fluid loss and shock within the first day.,Renal failure,Incorrect – Can occur secondary to prolonged shock/poor perfusion.,,,B,Early burn phase features fluid shifts → hypovolaemia and shock risk.,,SURG,Surgery,Hard,,GP-F-I0,
,GP-S0-62,Which measure is most effective in preventing pressure ulcers in a bedbound patient?,Increasing fluid intake,Incorrect – Helpful but not sufficient alone.,Regularly repositioning the patient,Correct – Offloads pressure and restores perfusion to tissues.,Applying talcum powder to pressure points,Incorrect – Can dry/irritate skin and doesn’t relieve pressure.,,,B,Two-hourly turning and pressure redistribution prevent skin breakdown.,,FUND,Fundamentals,Easy,,GP-F-I0,
,GP-S0-63,A pregnant woman reports dizziness and pallor when lying flat. The nurse should advise her to:,Lie on her right side,Incorrect – Less effective at vena cava decompression.,Lie on her left side,Correct – Left lateral position relieves vena cava compression.,Sit upright at all times,Incorrect – May help but not always practical or necessary.,,,B,Left lateral positioning improves venous return and cardiac output.,,MID,Midwifery,Moderate,,GP-F-I0,
,GP-S0-64,The primary symptom of measles that appears before the rash is:,Joint pain,Incorrect – Not characteristic.,Koplik’s spots inside the mouth,Correct – Pathognomonic enanthem appearing before the exanthem.,Night sweats,Incorrect – Not typical of measles prodrome.,,,B,Koplik’s spots precede the maculopapular rash and aid early diagnosis.,,PEDS,Paediatrics,Easy,,GP-F-I0,
,GP-S0-65,A patient with heart failure is on furosemide. Which electrolyte imbalance should the nurse monitor for?,Hyperkalaemia,"Incorrect – Seen with K⁺-sparing diuretics, not loop diuretics.",Hypokalaemia,Correct – Loop diuretics increase urinary potassium loss.,Hypercalcaemia,Incorrect – Furosemide can reduce calcium levels.,,,B,Loop diuretics commonly cause K⁺ wasting → hypokalaemia.,,MED,Medicine,Moderate,,GP-F-I0,
,GP-S0-66,The best way to confirm correct placement of a nasogastric tube before feeding is:,Listening for air in the stomach,Incorrect – Unreliable and not recommended.,Checking for gastric aspirate only,Incorrect – Helpful but less reliable alone.,X-ray confirmation,Correct – Gold standard before first use to prevent aspiration.,,,C,Radiographic confirmation is safest for initial NG placement.,,FUND,Fundamentals,Hard,,GP-F-I0,
,GP-S0-67,A newborn’s umbilical cord stump should be cleaned with:,Warm soapy water,Incorrect – May be insufficient in high-risk settings.,Chlorhexidine solution,Correct – Reduces cord infection and promotes healthy separation.,Baby powder,Incorrect – Irritating and unsafe for infants.,,,B,Chlorhexidine decreases omphalitis risk in newborns.,,PEDS,Paediatrics,Easy,,GP-F-I0,
,GP-S0-68,Which symptom in a psychiatric patient indicates auditory hallucinations?,Staring into space,Incorrect – Non-specific; may reflect thought disturbance.,Turning head as if listening to unseen voices,Correct – Classic behavioral cue of responding to voices.,Laughing at inappropriate times only,Incorrect – Non-specific; can occur for other reasons.,,,B,Responding to unheard stimuli suggests auditory hallucinations.,,MHN,Mental Health,Easy,,GP-F-I0,
,GP-S0-69,"In managing diarrhoea in children under five, the most important step is to:",Stop feeding until diarrhoea stops,Incorrect – Worsens nutrition and recovery.,Give only water to replace fluids,Incorrect – Does not replace electrolytes.,Provide oral rehydration solution,Correct – ORS replaces water and electrolytes effectively.,,,C,ORS prevents dehydration and electrolyte imbalance.,,PEDS,Paediatrics,Easy,,GP-F-I0,
,GP-S0-70,The main function of the placenta during pregnancy is to:,Produce milk for the fetus,Incorrect – Lactation occurs postpartum.,Exchange nutrients and waste between mother and fetus,Correct – Also facilitates gas exchange and hormone production.,Act as the baby’s lungs after birth,Incorrect – Neonatal lungs function after birth.,,,B,Placenta is the interface for nutrient/gas exchange and waste removal.,,MID,Midwifery,Easy,,GP-F-I0,
,GP-S0-71,"When caring for a patient with a chest tube, the nurse should:",Keep the drainage system above chest level,Incorrect – Impedes gravity drainage and risks backflow.,Ensure the tubing is free from kinks and below chest level,Correct – Promotes drainage and prevents blockage.,Clamp the tube routinely,Incorrect – Clamping is by order only; routine clamping is unsafe.,,,B,Gravity drainage with unobstructed tubing reduces complications.,,SURG,Surgery,Moderate,,GP-F-I0,
,GP-S0-72,Which is an example of secondary prevention?,Vaccinating against measles,Incorrect – Primary prevention.,Screening for hypertension,Correct – Detects disease early for timely treatment.,Rehabilitation after stroke,Incorrect – Tertiary prevention.,,,B,"Secondary prevention = early detection (e.g., BP screening).",,PHN,Public/community health,Easy,,GP-F-I0,
,GP-S0-73,A patient with asthma is wheezing and short of breath. The first medication to administer is:,Inhaled corticosteroid,Incorrect – Controller therapy; not rapid relief.,Short-acting beta-agonist (salbutamol),Correct – Rapid bronchodilation in acute attacks.,Oral antibiotic,Incorrect – Not indicated without infection.,,,B,SABA provides immediate relief of bronchospasm.,,MED,Medicine,Moderate,,GP-F-I0,
,GP-S0-74,Which position is best for a patient receiving rectal medication?,Supine,Incorrect – Less optimal for insertion/retention.,Prone,Incorrect – Awkward for access.,Left lateral (Sims’) position,Correct – Facilitates insertion and retention.,,,C,Sims’ position aligns rectum and aids medication retention.,,FUND,Fundamentals,Easy,,GP-F-I0,
,GP-S0-75,A mother asks why her newborn needs vitamin K injection. The nurse explains it is to:,Promote growth,Incorrect – Not a growth supplement.,Prevent bleeding disorders,Correct – Supports clotting factor synthesis to prevent HDN.,Boost immune system,Incorrect – Not an immune enhancer.,,,B,Vitamin K prevents haemorrhagic disease of the newborn.,,PEDS,Paediatrics,Easy,,GP-F-I0,
,GP-S0-76,A sign of postpartum haemorrhage that requires urgent intervention is:,Firm uterine fundus,Incorrect – Indicates good uterine tone.,Slight lochia rubra,Incorrect – Normal early postpartum finding.,Heavy vaginal bleeding with boggy uterus,Correct – Suggests uterine atony → PPH.,,,C,Boggy uterus + heavy bleeding = uterine atony needing urgent action.,,MID,Midwifery,Hard,,GP-F-I0,
,GP-S0-77,Which of the following is an example of assertive communication by a nurse?,“You always forget to take your medicine.”,Incorrect – Blaming/judgmental.,“I noticed you missed your medicine today; can we talk about why?”,"Correct – Direct, respectful, collaborative.","“If you don’t take your medicine, you will get worse.”",Incorrect – Threatening/coercive.,,,B,"Assertiveness is clear, respectful, and problem-solving oriented.",,FUND,Fundamentals,Moderate,,GP-F-I0,
,GP-S0-78,The main purpose of handwashing before and after patient care is to:,Remove dirt from hands,Incorrect – Cosmetic cleaning is secondary.,Prevent cross-infection,Correct – Most effective measure against HAIs.,Keep hands moisturised,Incorrect – Not the goal of clinical hand hygiene.,,,B,Hand hygiene interrupts pathogen transmission between patients.,,FUND,Fundamentals,Easy,,GP-F-I0,
